"Step","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MIN","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MAX"
"4525696","0","0","0"
"4601472","0","0","0"
"4604544","0","0","0"
"4605056","0","0","0"
"4606336","0","0","0"
"4608512","1","1","1"
"4609664","0.5","0.5","0.5"
"4610560","0","0","0"
"4613120","0","0","0"
"4686848","0","0","0"
"4688896","1","1","1"
"4690816","0","0","0"
"4695424","0","0","0"
"4696448","1","1","1"
"4702080","0","0","0"
"4778240","0","0","0"
"4778880","0","0","0"
"4780672","0","0","0"
"4782464","0","0","0"
"4782976","0","0","0"
"4784768","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"4786176","0","0","0"
"4865152","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"4874240","0","0","0"
"4952576","0","0","0"
"4952960","0","0","0"
"4954496","0.5","0.5","0.5"
"4955392","0","0","0"
"4957056","0.5","0.5","0.5"
"5042816","0","0","0"
"5042944","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"5044096","0","0","0"
"5046656","0","0","0"
"5134848","1","1","1"
"5209856","0","0","0"
"5213440","0","0","0"
"5215872","0","0","0"
"5216896","0","0","0"
"5217024","0","0","0"
"5299200","0","0","0"
"5299840","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"5301504","0","0","0"
"5302528","0","0","0"
"5303680","0","0","0"
"5382528","0","0","0"
"5386752","0","0","0"
"5475200","0","0","0"
"5475840","0","0","0"
"5478272","0.5","0.5","0.5"
"5552512","0","0","0"
"5561088","0","0","0"
"5561728","0","0","0"
"5566208","0","0","0"
"5642112","0","0","0"
"5647616","0","0","0"
"5648256","0.5","0.5","0.5"
"5656832","1","1","1"
"5726848","1","1","1"
"5734912","0","0","0"
"5737088","0","0","0"
"5742848","0","0","0"
"5816960","0","0","0"
"5822080","0.5","0.5","0.5"
"5823104","1","1","1"
"5827328","0","0","0"
"5830912","0","0","0"
"5832320","0","0","0"
"5902848","0","0","0"
"5906560","0","0","0"
"5913600","0","0","0"
"5913856","0","0","0"
"5914368","0","0","0"
"5914496","0","0","0"
"5915264","0","0","0"
"5998848","0","0","0"
"6003584","0","0","0"
"6085632","0","0","0"
"6087552","0","0","0"
"6093312","0","0","0"
"6166784","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"6172416","0","0","0"
"6181504","0","0","0"
"6256384","0","0","0"
"6258048","0","0","0"
"6258304","0","0","0"
"6260096","0","0","0"
"6263296","1","1","1"
"6264704","0","0","0"
"6345728","0.5","0.5","0.5"
"6346240","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"6347904","0","0","0"
"6350464","0","0","0"
"6354176","0","0","0"
"6428160","1","1","1"
"6432256","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"6435840","0.5","0.5","0.5"
"6436224","0","0","0"
"6438016","0","0","0"
"6515840","0","0","0"
"6518272","0","0","0"
"6519680","0.5","0.5","0.5"
"6520064","0","0","0"
"6520192","0.5","0.5","0.5"
"6603136","0.5","0.5","0.5"
"6605824","0","0","0"
"6610304","0","0","0"
"6611200","0","0","0"
"6612480","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"6613888","0","0","0"
"6616192","0","0","0"
"6688000","0","0","0"
"6690816","0","0","0"
"6696576","0","0","0"
"6697728","0","0","0"
"6698368","0","0","0"
"6700800","0","0","0"
"6776704","0","0","0"
"6777216","0","0","0"
"6786048","0","0","0"
"6787840","0.5","0.5","0.5"
"6863872","0.5","0.5","0.5"
"6871168","0","0","0"
"6871936","0","0","0"
"6951168","0.5","0.5","0.5"
"6961024","0","0","0"
"7040512","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"7041280","0","0","0"
"7045632","0","0","0"
"7050112","1","1","1"
"7122048","0.5","0.5","0.5"
"7125504","0","0","0"
"7127936","0","0","0"
"7134336","0","0","0"
"7211648","1","1","1"
"7214080","1","1","1"
"7223168","1","1","1"
"7225984","0","0","0"
"7300864","0","0","0"
"7305984","0","0","0"
"7384448","0","0","0"
"7385984","1","1","1"
"7391872","0.6000000238418579","0.6000000238418579","0.6000000238418579"
"7392000","0.5","0.5","0.5"
"7476864","0","0","0"
"7480192","0.25","0.25","0.25"
"7481216","0","0","0"
"7487360","0","0","0"
"7560576","0","0","0"
"7560832","1","1","1"
"7562240","0","0","0"
"7563392","0","0","0"
"7565952","0","0","0"
"7566336","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"7566848","0","0","0"
"7567104","0","0","0"
"7567744","0","0","0"
"7571584","1","1","1"
"7572096","0","0","0"
"7645824","0","0","0"
"7648896","0","0","0"
"7651072","0.5","0.5","0.5"
"7655808","0","0","0"
"7656064","0","0","0"
"7728384","1","1","1"
"7736576","0","0","0"
"7737088","0","0","0"
"7740288","0","0","0"
"7745152","0","0","0"
"7746816","0","0","0"
"7826944","0","0","0"
"7908992","1","1","1"
"7910272","0","0","0"
"7911936","0","0","0"
"7913472","0","0","0"
"7914624","0","0","0"
"7917184","0","0","0"
"7992320","0","0","0"
"7996544","1","1","1"
"7996928","0","0","0"
"8001408","0","0","0"
"8005248","0","0","0"
"8009088","0","0","0"
"8073600","0","0","0"
"8079616","0","0","0"
"8092416","0.5","0.5","0.5"
"8163712","0","0","0"
"8167936","0","0","0"
"8170240","0","0","0"
"8171136","0","0","0"
"8172928","0","0","0"
"8179840","0","0","0"
"8254592","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"8255872","0","0","0"
"8260352","1","1","1"
"8269056","0","0","0"
"8338176","0","0","0"
"8340352","0","0","0"
"8348928","0","0","0"
"8352256","0","0","0"
"8356608","0","0","0"
"8434688","0","0","0"
"8436480","0","0","0"
"8438784","1","1","1"
"8439424","0","0","0"
"8440064","0","0","0"
"8443264","0","0","0"
"8514304","0","0","0"
"8520960","0","0","0"
"8523392","0.25","0.25","0.25"
