"Step","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MIN","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MAX"
"5098240","250","250","250"
"5137536","430","430","430"
"5146496","320","320","320"
"5171840","250","250","250"
"5181952","340","340","340"
"5186816","550","550","550"
"5191424","330","330","330"
"5199104","540","540","540"
"5236480","400","400","400"
"5280128","390","390","390"
"5285376","400","400","400"
"5320832","390","390","390"
"5321600","360","360","360"
"5351552","490","490","490"
"5374720","540","540","540"
"5388800","320","320","320"
"5405568","310","310","310"
"5414784","330","330","330"
"5436800","305","305","305"
"5473152","270","270","270"
"5478656","320","320","320"
"5504384","285","285","285"
"5509888","600","600","600"
"5515008","340","340","340"
"5532416","290","290","290"
"5536640","543.3333129882812","543.3333129882812","543.3333129882812"
"5569664","170","170","170"
"5573632","290","290","290"
"5574656","310","310","310"
"5624448","380","380","380"
"5650304","190","190","190"
"5684992","350","350","350"
"5703808","580","580","580"
"5711488","365","365","365"
"5754880","510","510","510"
"5787136","360","360","360"
"5796992","210","210","210"
"5814528","530","530","530"
"5820800","290","290","290"
"5834496","250","250","250"
"5836032","363.3333435058594","363.3333435058594","363.3333435058594"
"5844992","720","720","720"
"5854336","230","230","230"
"5914240","355","355","355"
"5928960","310","310","310"
"5957632","435","435","435"
"5968384","330","330","330"
"5979264","310","310","310"
"5990784","680","680","680"
"6013056","370","370","370"
"6013568","485","485","485"
"6033792","240","240","240"
"6088192","270","270","270"
"6091520","315","315","315"
"6107520","270","270","270"
"6115456","275","275","275"
"6163456","590","590","590"
"6180864","415","415","415"
"6268800","520","520","520"
"6276736","470","470","470"
"6280064","320","320","320"
"6284672","720","720","720"
"6364800","350","350","350"
"6384640","290","290","290"
"6395008","260","260","260"
"6424960","295","295","295"
"6430976","365","365","365"
"6472448","440","440","440"
"6475776","870","870","870"
"6479616","270","270","270"
"6605952","340","340","340"
"6609792","776.6666870117188","776.6666870117188","776.6666870117188"
"6618240","690","690","690"
"6703872","320","320","320"
"6774272","420","420","420"
"6816640","330","330","330"
"6822144","990","990","990"
"6822912","440","440","440"
"6828928","190","190","190"
"6836096","710","710","710"
"6837504","230","230","230"
"6845440","420","420","420"
"6851072","400","400","400"
"6880256","420","420","420"
"6894336","380","380","380"
"6897536","420","420","420"
"6931456","460","460","460"
"6937728","280","280","280"
"6946048","315","315","315"
"6971776","385","385","385"
"6989056","460","460","460"
"7002240","510","510","510"
"7010688","725","725","725"
"7019648","410","410","410"
"7024128","780","780","780"
"7027072","440","440","440"
"7050112","820","820","820"
"7101184","600","600","600"
"7140992","1010","1010","1010"
"7153536","385","385","385"
"7157376","480","480","480"
"7159296","260","260","260"
"7159680","420","420","420"
"7197696","230","230","230"
"7198720","430","430","430"
"7205376","370","370","370"
"7218048","485","485","485"
"7246976","450","450","450"
"7255296","240","240","240"
"7265792","530","530","530"
"7273600","330","330","330"
"7311872","290","290","290"
"7335168","280","280","280"
"7342976","950","950","950"
"7398912","390","390","390"
"7432064","420","420","420"
"7472128","583.3333129882812","583.3333129882812","583.3333129882812"
"7482368","360","360","360"
"7486208","500","500","500"
"7503488","410","410","410"
"7504000","400","400","400"
"7514624","270","270","270"
"7515008","660","660","660"
"7542144","435","435","435"
"7543808","370","370","370"
"7553280","380","380","380"
"7598464","365","365","365"
"7610752","190","190","190"
"7615232","260","260","260"
"7634048","160","160","160"
"7646336","470","470","470"
"7692288","490","490","490"
"7692544","290","290","290"
"7705472","350","350","350"
"7712512","350","350","350"
"7726208","180","180","180"
"7731072","1210","1210","1210"
"7753472","460","460","460"
"7755648","240","240","240"
"7774976","290","290","290"
"7780992","120","120","120"
"7782272","560","560","560"
"7802240","320","320","320"
"7818880","306.6666564941406","306.6666564941406","306.6666564941406"
"7843968","210","210","210"
"7849728","360","360","360"
"7850880","230","230","230"
"7868544","490","490","490"
"7870592","370","370","370"
"7881600","447.5","447.5","447.5"
"7884800","275","275","275"
"7887232","360","360","360"
"7889792","190","190","190"
"7899776","220","220","220"
"7919232","320","320","320"
"7948416","320","320","320"
"7949184","280","280","280"
"7982720","1200","1200","1200"
"8005120","610","610","610"
"8024192","305","305","305"
"8064384","480","480","480"
"8092544","260","260","260"
"8136576","380","380","380"
"8153600","330","330","330"
"8154752","450","450","450"
"8163200","280","280","280"
"8178560","230","230","230"
"8195328","300","300","300"
"8202496","370","370","370"
"8211712","740","740","740"
"8222592","450","450","450"
"8240256","250","250","250"
"8259712","420","420","420"
"8264320","340","340","340"
"8307456","340","340","340"
"8329216","260","260","260"
"8360192","310","310","310"
"8371200","240","240","240"
"8381440","350","350","350"
"8407552","340","340","340"
"8411648","350","350","350"
"8422912","500","500","500"
"8466688","410","410","410"
"8468736","500","500","500"
"8484736","440","440","440"
"8498176","325","325","325"
"8508544","360","360","360"
"8509440","290","290","290"
"8513536","270","270","270"
"8579328","280","280","280"
"8581504","300","300","300"
"8585984","690","690","690"
"8590720","295","295","295"
"8604800","280","280","280"
"8635776","340","340","340"
