"Step","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MIN","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MAX"
"37180800","3000","3000","3000"
"37185408","1110","1110","1110"
"37210880","2610","2610","2610"
"37236608","2260","2260","2260"
"37236992","1360","1360","1360"
"37279616","2135","2135","2135"
"37281920","2140","2140","2140"
"37288576","2055","2055","2055"
"37330048","1220","1220","1220"
"37342080","1700","1700","1700"
"37362944","2450","2450","2450"
"37373312","2280","2280","2280"
"37380608","1420","1420","1420"
"37416064","1450","1450","1450"
"37416192","1220","1220","1220"
"37442304","1440","1440","1440"
"37448448","2310","2310","2310"
"37452544","1440","1440","1440"
"37461504","1805","1805","1805"
"37472768","960","960","960"
"37477504","2950","2950","2950"
"37488128","2040","2040","2040"
"37515392","2220","2220","2220"
"37521792","1215","1215","1215"
"37525632","2030","2030","2030"
"37552896","1970","1970","1970"
"37570048","1500","1500","1500"
"37575552","3010","3010","3010"
"37580928","1450","1450","1450"
"37591168","2830","2830","2830"
"37606656","1010","1010","1010"
"37626496","1720","1720","1720"
"37632768","2120","2120","2120"
"37638528","2655","2655","2655"
"37656960","1070","1070","1070"
"37687168","1550","1550","1550"
"37695872","2650","2650","2650"
"37712512","1515","1515","1515"
"37723264","1480","1480","1480"
"37737088","2980","2980","2980"
"37752192","2990","2990","2990"
"37757312","2770","2770","2770"
"37806080","1380","1380","1380"
"37827200","1170","1170","1170"
"37876992","2650","2650","2650"
"37880960","1275","1275","1275"
"37895040","1220","1220","1220"
"37902976","2200","2200","2200"
"37904384","1450","1450","1450"
"37917184","1470","1470","1470"
"37947008","2420","2420","2420"
"37949824","2210","2210","2210"
"37958656","2600","2600","2600"
"37992064","2160","2160","2160"
"37999744","1800","1800","1800"
"38003584","1420","1420","1420"
"38027264","2090","2090","2090"
"38028032","2720","2720","2720"
"38036736","480","480","480"
"38075136","1480","1480","1480"
"38100608","2670","2670","2670"
"38122496","1010","1010","1010"
"38152832","2770","2770","2770"
"38168704","1300","1300","1300"
"38168832","1540","1540","1540"
"38187904","1290","1290","1290"
"38194304","2550","2550","2550"
"38200960","2870","2870","2870"
"38210816","1590","1590","1590"
"38215680","1700","1700","1700"
"38218240","1720","1720","1720"
"38219008","1540","1540","1540"
"38228352","2230","2230","2230"
"38234752","1570","1570","1570"
"38238848","1770","1770","1770"
"38245248","2320","2320","2320"
"38245376","1610","1610","1610"
"38251136","1890","1890","1890"
"38257664","1600","1600","1600"
"38275328","2680","2680","2680"
"38312064","1370","1370","1370"
"38312192","2620","2620","2620"
"38344320","1000","1000","1000"
"38345216","2140","2140","2140"
"38347776","2485","2485","2485"
"38368384","2590","2590","2590"
"38368768","1773.3333740234375","1773.3333740234375","1773.3333740234375"
"38386688","1240","1240","1240"
"38395520","2640","2640","2640"
"38399744","2380","2380","2380"
"38413056","1730","1730","1730"
"38430848","2300","2300","2300"
"38433408","1640","1640","1640"
"38439936","2325","2325","2325"
"38462976","1690","1690","1690"
"38470400","1560","1560","1560"
"38488448","1360","1360","1360"
"38491392","2720","2720","2720"
"38502144","1580","1580","1580"
"38518144","2280","2280","2280"
"38526336","2260","2260","2260"
"38531200","1880","1880","1880"
"38542720","3180","3180","3180"
"38544000","1190","1190","1190"
"38550656","2200","2200","2200"
"38556928","1470","1470","1470"
"38597376","2260","2260","2260"
"38625152","1150","1150","1150"
"38633472","640","640","640"
"38636800","1305","1305","1305"
"38648576","1420","1420","1420"
"38651648","1740","1740","1740"
"38669312","1560","1560","1560"
"38673536","2120","2120","2120"
"38680320","2030","2030","2030"
"38700416","2030","2030","2030"
"38727040","2290","2290","2290"
"38734464","1540","1540","1540"
"38742912","1990","1990","1990"
"38745472","1670","1670","1670"
"38746368","2390","2390","2390"
"38748800","2450","2450","2450"
"38790912","1480","1480","1480"
"38806016","1780","1780","1780"
"38806400","1590","1590","1590"
"38812672","1110","1110","1110"
"38826880","2640","2640","2640"
"38872704","1230","1230","1230"
"38874240","1390","1390","1390"
"38899200","2090","2090","2090"
"38909568","2590","2590","2590"
"38950016","2180","2180","2180"
"38951424","1120","1120","1120"
"38971520","1540","1540","1540"
"38976000","1990","1990","1990"
"38976768","2640","2640","2640"
"39004416","1590","1590","1590"
"39049600","1430","1430","1430"
"39056256","1305","1305","1305"
"39064960","2320","2320","2320"
"39076864","1480","1480","1480"
"39082624","2330","2330","2330"
"39087872","1430","1430","1430"
"39091200","1170","1170","1170"
"39141632","1450","1450","1450"
"39142400","2840","2840","2840"
"39148416","2190","2190","2190"
"39167616","2080","2080","2080"
"39168768","1400","1400","1400"
"39173120","2480","2480","2480"
"39175296","2600","2600","2600"
"39181312","700","700","700"
"39191936","910","910","910"
"39201024","1360","1360","1360"
"39276544","1310","1310","1310"
"39287936","1920","1920","1920"
"39298816","1180","1180","1180"
"39299584","1330","1330","1330"
"39310976","2380","2380","2380"
"39315072","1165","1165","1165"
"39317888","2120","2120","2120"
"39329408","2250","2250","2250"
"39374976","1350","1350","1350"
"39408512","1700","1700","1700"
"39424000","2430","2430","2430"
"39425408","1970","1970","1970"
"39426560","1320","1320","1320"
"39435648","2240","2240","2240"
"39470080","1400","1400","1400"
"39476096","1030","1030","1030"
"39476480","3010","3010","3010"
"39484544","1210","1210","1210"
"39543936","1450","1450","1450"
"39563520","2350","2350","2350"
"39578112","2180","2180","2180"
"39579520","2120","2120","2120"
"39580672","1400","1400","1400"
"39604224","1960","1960","1960"
"39604608","1380","1380","1380"
"39606272","2500","2500","2500"
"39615488","1040","1040","1040"
"39627392","1755","1755","1755"
"39664000","1590","1590","1590"
"39676800","1400","1400","1400"
"39708032","2565","2565","2565"
"39716992","1630","1630","1630"
"39733504","1170","1170","1170"
"39740160","2425","2425","2425"
"39744896","1550","1550","1550"
"39747584","1320","1320","1320"
"39755904","990","990","990"
"39761024","1360","1360","1360"
"39761792","3020","3020","3020"
"39784704","1080","1080","1080"
"39790208","1500","1500","1500"
"39794944","1610","1610","1610"
"39821696","1650","1650","1650"
"39826176","2490","2490","2490"
"39843584","1610","1610","1610"
"39854976","1380","1380","1380"
"39855488","2920","2920","2920"
"39872128","1670","1670","1670"
"39879424","2490","2490","2490"
"39883136","1240","1240","1240"
"39890304","1330","1330","1330"
"39891456","2090","2090","2090"
"39900160","2010","2010","2010"
"39910016","1340","1340","1340"
"39921152","2750","2750","2750"
"39927936","990","990","990"
"39929984","1720","1720","1720"
"39945856","2320","2320","2320"
"39946752","2030","2030","2030"
"39989632","1330","1330","1330"
"39995904","2330","2330","2330"
"40000128","2470","2470","2470"
"40002176","2600","2600","2600"
"40010880","2925","2925","2925"
"40024448","2970","2970","2970"
"40043264","1240","1240","1240"
"40047104","1570","1570","1570"
"40057984","1460","1460","1460"
"40061312","1150","1150","1150"
"40070784","3150","3150","3150"
"40077952","1670","1670","1670"
"40126720","2890","2890","2890"
"40153472","1190","1190","1190"
"40203008","1390","1390","1390"
"40216704","2540","2540","2540"
"40236800","1460","1460","1460"
"40254208","1690","1690","1690"
"40265216","2420","2420","2420"
"40278656","1590","1590","1590"
"40291072","1570","1570","1570"
"40294144","1520","1520","1520"
"40311424","1550","1550","1550"
"40333312","2240","2240","2240"
"40347008","1230","1230","1230"
"40353536","970","970","970"
"40360192","1290","1290","1290"
"40362112","1210","1210","1210"
"40366720","1560","1560","1560"
"40370816","3130","3130","3130"
"40377728","2230","2230","2230"
"40383616","3010","3010","3010"
"40387328","2240","2240","2240"
"40410496","1480","1480","1480"
"40434560","1283.3333740234375","1283.3333740234375","1283.3333740234375"
"40485632","1270","1270","1270"
"40503040","1270","1270","1270"
"40517376","1740","1740","1740"
"40525952","1530","1530","1530"
"40526464","1833.3333740234375","1833.3333740234375","1833.3333740234375"
"40537728","1470","1470","1470"
"40540544","1660","1660","1660"
"40573312","1530","1530","1530"
"40582144","1540","1540","1540"
"40589056","2300","2300","2300"
"40595072","1505","1505","1505"
"40604672","2510","2510","2510"
"40632832","1300","1300","1300"
"40652928","2790","2790","2790"
"40653312","950","950","950"
"40667776","2220","2220","2220"
"40685056","2240","2240","2240"
"40693120","1510","1510","1510"
"40711552","2350","2350","2350"
"40720896","1460","1460","1460"
"40756096","1260","1260","1260"
"40759680","1220","1220","1220"
"40770560","2010","2010","2010"
"40778240","1300","1300","1300"
"40781184","2440","2440","2440"
"40788096","3240","3240","3240"
"40792192","2310","2310","2310"
"40800384","2740","2740","2740"
"40801280","1570","1570","1570"
"40805632","2070","2070","2070"
"40811392","2240","2240","2240"
"40829952","1830","1830","1830"
"40833792","1240","1240","1240"
"40855168","1460","1460","1460"
"40885376","1570","1570","1570"
"40888192","2200","2200","2200"
"40908416","1570","1570","1570"
"40914176","1710","1710","1710"
"40916608","2290","2290","2290"
"40926592","2080","2080","2080"
"40927744","2260","2260","2260"
"40939136","2210","2210","2210"
"40949632","2710","2710","2710"
"40966016","1450","1450","1450"
"40968960","1120","1120","1120"
"40977792","2610","2610","2610"
"40980608","1185","1185","1185"
"40996480","1220","1220","1220"
"41002752","2650","2650","2650"
"41010688","2770","2770","2770"
"41025920","1790","1790","1790"
"41038592","1250","1250","1250"
"41041664","2110","2110","2110"
"41047680","1830","1830","1830"
"41086848","1675","1675","1675"
"41102592","880","880","880"
"41103232","1100","1100","1100"
"41111808","2160","2160","2160"
"41121280","1750","1750","1750"
"41146752","1100","1100","1100"
"41171200","2230","2230","2230"
"41177088","3970","3970","3970"
"41177472","3540","3540","3540"
"41187200","1480","1480","1480"
"41194624","2040","2040","2040"
"41212416","2460","2460","2460"
"41213568","1240","1240","1240"
"41225600","1570","1570","1570"
"41231872","2770","2770","2770"
"41239680","3240","3240","3240"
"41256832","2780","2780","2780"
"41288960","1780","1780","1780"
"41307904","2610","2610","2610"
"41321984","1420","1420","1420"
"41344384","2600","2600","2600"
"41354496","1140","1140","1140"
"41374208","2380","2380","2380"
"41402880","1630","1630","1630"
"41412608","1610","1610","1610"
"41416448","2830","2830","2830"
"41460736","1410","1410","1410"
"41463936","1860","1860","1860"
"41467904","3130","3130","3130"
"41486464","1470","1470","1470"
"41489280","2010","2010","2010"
"41489792","1600","1600","1600"
"41493376","2410","2410","2410"
"41503744","1240","1240","1240"
"41517952","1920","1920","1920"
"41537152","2580","2580","2580"
"41545600","1980","1980","1980"
"41587456","1990","1990","1990"
"41601920","1530","1530","1530"
"41632256","2520","2520","2520"
"41655552","1255","1255","1255"
"41676928","1620","1620","1620"
"41697664","3620","3620","3620"
"41699712","1860","1860","1860"
"41715200","1910","1910","1910"
"41716608","2030","2030","2030"
"41752064","3870","3870","3870"
"41762304","1200","1200","1200"
"41783552","1930","1930","1930"
"41799680","1450","1450","1450"
"41821440","1850","1850","1850"
"41827456","1890","1890","1890"
"41841408","1980","1980","1980"
"41869824","1560","1560","1560"
"41879424","1390","1390","1390"
"41884928","1550","1550","1550"
"41887872","970","970","970"
"41896064","3185","3185","3185"
"41902336","2650","2650","2650"
"41911168","1200","1200","1200"
"41944576","2420","2420","2420"
"41973120","1410","1410","1410"
"41987712","1610","1610","1610"
"42006016","1720","1720","1720"
"42014976","2830","2830","2830"
"42031232","1760","1760","1760"
"42053888","2150","2150","2150"
"42060416","2150","2150","2150"
"42080000","1780","1780","1780"
"42113664","1420","1420","1420"
"42141824","2530","2530","2530"
"42162688","1390","1390","1390"
"42165376","1560","1560","1560"
"42176640","1180","1180","1180"
"42186240","1350","1350","1350"
"42194944","2550","2550","2550"
"42199296","1530","1530","1530"
"42201216","2610","2610","2610"
"42230656","2390","2390","2390"
"42237952","1320","1320","1320"
"42249472","1710","1710","1710"
"42337024","3510","3510","3510"
"42346368","2800","2800","2800"
"42394240","1400","1400","1400"
"42405248","2810","2810","2810"
"42425344","1830","1830","1830"
"42452736","1350","1350","1350"
"42460928","1500","1500","1500"
"42483200","1360","1360","1360"
"42483584","1740","1740","1740"
"42487552","2205","2205","2205"
"42501760","2480","2480","2480"
"42508160","960","960","960"
"42544128","3250","3250","3250"
"42545024","3810","3810","3810"
"42558592","1790","1790","1790"
"42563456","2850","2850","2850"
"42565760","1650","1650","1650"
"42577792","1300","1300","1300"
"42580352","1580","1580","1580"
"42581504","2450","2450","2450"
"42600064","3370","3370","3370"
"42613888","1510","1510","1510"
"42614912","1480","1480","1480"
"42641152","1760","1760","1760"
"42656128","3390","3390","3390"
"42679936","3410","3410","3410"
"42716160","2980","2980","2980"
"42732928","3220","3220","3220"
"42763776","1810","1810","1810"
"42770816","2460","2460","2460"
"42779136","2140","2140","2140"
"42785792","1100","1100","1100"
"42797056","3170","3170","3170"
"42816000","2880","2880","2880"
"42821120","2270","2270","2270"
"42830720","2580","2580","2580"
"42859904","2990","2990","2990"
"42864128","2555","2555","2555"
"42869248","1660","1660","1660"
"42873344","1520","1520","1520"
"42889984","1310","1310","1310"
"42900608","1910","1910","1910"
"42917504","3020","3020","3020"
"42935552","2240","2240","2240"
"43048832","2120","2120","2120"
"43058560","2720","2720","2720"
"43060736","2380","2380","2380"
"43068160","2510","2510","2510"
"43100800","1460","1460","1460"
"43125376","1270","1270","1270"
"43148032","1050","1050","1050"
"43173504","1420","1420","1420"
"43198336","1530","1530","1530"
"43204352","3450","3450","3450"
"43225728","2085","2085","2085"
"43229568","2630","2630","2630"
"43247360","2320","2320","2320"
"43258496","1470","1470","1470"
"43260928","1520","1520","1520"
"43267840","2020","2020","2020"
"43285120","3790","3790","3790"
"43301248","1510","1510","1510"
"43305472","2770","2770","2770"
"43334784","3430","3430","3430"
"43340672","1720","1720","1720"
"43352448","1300","1300","1300"
"43357312","2810","2810","2810"
"43359616","2620","2620","2620"
"43361664","3260","3260","3260"
"43364736","2980","2980","2980"
"43369856","1460","1460","1460"
"43380608","1640","1640","1640"
"43383936","1230","1230","1230"
"43399936","1490","1490","1490"
"43405056","1980","1980","1980"
"43407488","1480","1480","1480"
"43435648","2243.333251953125","2243.333251953125","2243.333251953125"
"43438720","1440","1440","1440"
"43442432","2710","2710","2710"
"43445120","1400","1400","1400"
"43450624","1280","1280","1280"
"43458944","1885","1885","1885"
"43467776","1350","1350","1350"
"43497856","1450","1450","1450"
"43500416","1560","1560","1560"
"43504000","1880","1880","1880"
"43508224","1795","1795","1795"
"43512448","1490","1490","1490"
"43514624","2550","2550","2550"
"43534848","1942.5","1942.5","1942.5"
"43538176","2960","2960","2960"
"43554304","1720","1720","1720"
"43577344","2020","2020","2020"
"43595392","1730","1730","1730"
"43634688","2460","2460","2460"
"43656960","1420","1420","1420"
"43667072","1190","1190","1190"
"43676672","1490","1490","1490"
"43677824","1270","1270","1270"
"43713280","1830","1830","1830"
"43717120","2525","2525","2525"
"43732096","2260","2260","2260"
"43740032","2400","2400","2400"
"43745408","2670","2670","2670"
"43758976","2590","2590","2590"
"43760256","1400","1400","1400"
"43763584","2480","2480","2480"
"43807232","1290","1290","1290"
"43821184","1910","1910","1910"
"43869696","1640","1640","1640"
"43887104","1700","1700","1700"
"43924992","1580","1580","1580"
"43955328","1320","1320","1320"
"43986176","2320","2320","2320"
"43998976","2470","2470","2470"
"43999360","2635","2635","2635"
"44003328","1693.3333740234375","1693.3333740234375","1693.3333740234375"
"44004224","3450","3450","3450"
"44006400","1440","1440","1440"
"44016512","2600","2600","2600"
"44042752","3340","3340","3340"
"44093440","1530","1530","1530"
"44103296","1500","1500","1500"
"44116736","2850","2850","2850"
"44118784","1410","1410","1410"
"44131200","2010","2010","2010"
"44136448","1780","1780","1780"
"44139648","1570","1570","1570"
"44159488","3260","3260","3260"
"44178560","2680","2680","2680"
"44183808","1770","1770","1770"
"44191872","2155","2155","2155"
"44195968","2810","2810","2810"
"44206720","1240","1240","1240"
"44208000","1120","1120","1120"
"44209152","2840","2840","2840"
"44218496","2400","2400","2400"
"44230912","1965","1965","1965"
"44251008","2030","2030","2030"
"44275072","1200","1200","1200"
"44275584","1120","1120","1120"
"44284032","2130","2130","2130"
"44293888","1200","1200","1200"
"44338944","1220","1220","1220"
"44344960","2560","2560","2560"
"44353024","1260","1260","1260"
"44354304","2530","2530","2530"
"44366336","1510","1510","1510"
"44395520","1580","1580","1580"
"44421376","1635","1635","1635"
"44439936","1715","1715","1715"
"44443648","1150","1150","1150"
"44467840","2220","2220","2220"
"44475776","1450","1450","1450"
"44479872","1570","1570","1570"
"44484736","3670","3670","3670"
"44486016","2070","2070","2070"
"44500096","1470","1470","1470"
"44505856","1290","1290","1290"
"44541440","2260","2260","2260"
"44546176","1500","1500","1500"
"44596096","1760","1760","1760"
"44608512","3920","3920","3920"
"44635648","1885","1885","1885"
"44638208","2420","2420","2420"
"44652160","2310","2310","2310"
"44668416","1240","1240","1240"
"44672640","1610","1610","1610"
"44678528","1460","1460","1460"
"44682624","2300","2300","2300"
"44733696","1550","1550","1550"
"44734976","1240","1240","1240"
"44779392","1530","1530","1530"
"44781440","3330","3330","3330"
"44782208","3750","3750","3750"
"44799360","1580","1580","1580"
"44800640","1120","1120","1120"
"44812032","2180","2180","2180"
"44823168","1280","1280","1280"
"44862720","1340","1340","1340"
"44867072","2860","2860","2860"
"44880768","1470","1470","1470"
"44884864","800","800","800"
"44891264","2780","2780","2780"
"44891904","1440","1440","1440"
"44928128","1280","1280","1280"
"44963328","1690","1690","1690"
"44975616","1195","1195","1195"
"44988416","1430","1430","1430"
"44995840","2010","2010","2010"
"45026048","2670","2670","2670"
"45036928","1560","1560","1560"
"45038080","2170","2170","2170"
"45040384","1510","1510","1510"
"45040640","1160","1160","1160"
"45054208","2070","2070","2070"
"45055232","2340","2340","2340"
"45068288","2275","2275","2275"
"45091328","1520","1520","1520"
"45102720","2810","2810","2810"
"45103232","1780","1780","1780"
"45104768","2410","2410","2410"
"45106304","1400","1400","1400"
"45113088","2860","2860","2860"
"45140096","2420","2420","2420"
"45154560","2250","2250","2250"
"45193344","1630","1630","1630"
"45198080","1180","1180","1180"
"45228160","2050","2050","2050"
"45236096","2290","2290","2290"
"45238912","2750","2750","2750"
"45252224","2050","2050","2050"
"45252864","1240","1240","1240"
"45258240","1450","1450","1450"
"45279616","990","990","990"
"45284864","2005","2005","2005"
"45286272","1110","1110","1110"
"45296256","1635","1635","1635"
"45298048","2110","2110","2110"
"45311232","1340","1340","1340"
"45331584","2680","2680","2680"
"45346048","1790","1790","1790"
"45366016","2010","2010","2010"
"45370112","1050","1050","1050"
"45384704","2510","2510","2510"
"45385984","3360","3360","3360"
"45396224","1310","1310","1310"
"45408768","1956.6666259765625","1956.6666259765625","1956.6666259765625"
"45435136","1530","1530","1530"
"45438848","1840","1840","1840"
"45476608","1120","1120","1120"
"45480576","1120","1120","1120"
"45484160","1380","1380","1380"
"45495296","2140","2140","2140"
"45529600","2990","2990","2990"
"45530112","2260","2260","2260"
"45540608","2090","2090","2090"
"45599360","1590","1590","1590"
"45670528","2200","2200","2200"
"45693952","1040","1040","1040"
"45702784","3100","3100","3100"
"45709184","2875","2875","2875"
"45711744","1780","1780","1780"
"45719552","3960","3960","3960"
"45745024","2480","2480","2480"
"45756800","1830","1830","1830"
"45758848","1290","1290","1290"
"45760256","1600","1600","1600"
"45771648","1750","1750","1750"
"45829888","1440","1440","1440"
"45844864","1310","1310","1310"
"45849600","1380","1380","1380"
"45865728","1140","1140","1140"
"45871232","2460","2460","2460"
"45888640","2180","2180","2180"
"45900800","2040","2040","2040"
"45909888","2300","2300","2300"
"45913856","3750","3750","3750"
"45937152","1900","1900","1900"
"45939840","1420","1420","1420"
"45951744","1310","1310","1310"
"45969152","450","450","450"
"45979520","1400","1400","1400"
"45984384","2110","2110","2110"
"45984512","1110","1110","1110"
"45985152","1100","1100","1100"
"45987584","970","970","970"
"45999872","2360","2360","2360"
"46028032","1270","1270","1270"
"46036864","2480","2480","2480"
"46039552","2300","2300","2300"
"46061056","1460","1460","1460"
"46066944","2200","2200","2200"
"46078464","3620","3620","3620"
"46100608","2840","2840","2840"
"46100736","2580","2580","2580"
"46106368","1560","1560","1560"
"46107904","1410","1410","1410"
"46108032","1480","1480","1480"
"46136704","2140","2140","2140"
"46153472","2260","2260","2260"
"46185088","3025","3025","3025"
"46193280","1410","1410","1410"
"46213632","1310","1310","1310"
"46219648","2640","2640","2640"
"46231424","2710","2710","2710"
"46234368","2020","2020","2020"
"46246784","1720","1720","1720"
"46256896","1300","1300","1300"
"46258944","3110","3110","3110"
"46285312","2260","2260","2260"
"46288256","3230","3230","3230"
"46293376","2200","2200","2200"
"46298368","2980","2980","2980"
"46302592","2380","2380","2380"
"46309760","1170","1170","1170"
"46319104","1180","1180","1180"
"46345344","1580","1580","1580"
"46368256","1625","1625","1625"
"46373504","2390","2390","2390"
"46376704","1380","1380","1380"
"46378496","1370","1370","1370"
"46378752","1520","1520","1520"
"46385024","1250","1250","1250"
"46406016","2085","2085","2085"
"46442880","1330","1330","1330"
"46445184","1570","1570","1570"
"46459520","2390","2390","2390"
"46463616","3000","3000","3000"
"46467712","1090","1090","1090"
"46469632","1040","1040","1040"
"46480000","2590","2590","2590"
"46486272","1620","1620","1620"
"46488576","3640","3640","3640"
"46498688","3540","3540","3540"
"46506752","2960","2960","2960"
"46506880","2140","2140","2140"
"46544256","860","860","860"
"46576896","1390","1390","1390"
"46589568","1030","1030","1030"
"46589824","1620","1620","1620"
"46595328","1450","1450","1450"
"46597504","1500","1500","1500"
"46603008","1390","1390","1390"
"46625024","1960","1960","1960"
"46628096","3410","3410","3410"
"46655744","1720","1720","1720"
"46667392","2040","2040","2040"
"46668160","2860","2860","2860"
"46676224","2320","2320","2320"
"46677248","2030","2030","2030"
"46739200","2470","2470","2470"
"46740096","1930","1930","1930"
"46752000","1380","1380","1380"
"46774784","2480","2480","2480"
"46785280","2150","2150","2150"
"46808960","1580","1580","1580"
"46830976","1080","1080","1080"
"46860928","2410","2410","2410"
"46884608","2030","2030","2030"
"46895232","1690","1690","1690"
"46899456","1460","1460","1460"
"46899840","2150","2150","2150"
"46916864","1190","1190","1190"
"46919552","1140","1140","1140"
"46927744","2210","2210","2210"
"46938880","2810","2810","2810"
"46958592","1040","1040","1040"
"46960896","1750","1750","1750"
"46973824","2050","2050","2050"
"46982528","3580","3580","3580"
"47048192","1420","1420","1420"
"47128960","1100","1100","1100"
"47150848","1100","1100","1100"
"47159296","1990","1990","1990"
"47165952","1550","1550","1550"
"47170560","1470","1470","1470"
"47180416","1400","1400","1400"
"47217152","1380","1380","1380"
"47221632","2950","2950","2950"
"47222528","2685","2685","2685"
"47227904","2150","2150","2150"
"47230080","2610","2610","2610"
"47231616","1080","1080","1080"
"47236992","1610","1610","1610"
"47244544","1690","1690","1690"
"47285760","2290","2290","2290"
"47290240","1280","1280","1280"
"47290624","1020","1020","1020"
"47294720","1390","1390","1390"
"47307264","2205","2205","2205"
"47307776","1350","1350","1350"
"47321472","3270","3270","3270"
"47325696","1360","1360","1360"
"47339648","1530","1530","1530"
"47414784","2390","2390","2390"
"47416960","1410","1410","1410"
"47427072","1955","1955","1955"
"47430784","2840","2840","2840"
"47432960","1610","1610","1610"
"47446656","1120","1120","1120"
"47450112","3230","3230","3230"
"47454720","2380","2380","2380"
"47477376","1500","1500","1500"
"47503360","880","880","880"
"47523968","1320","1320","1320"
"47526912","3840","3840","3840"
"47535488","1310","1310","1310"
"47536256","1825","1825","1825"
"47557376","1950","1950","1950"
"47584128","3780","3780","3780"
"47592448","1280","1280","1280"
"47596672","1310","1310","1310"
"47605760","2330","2330","2330"
"47611776","2260","2260","2260"
"47623424","1870","1870","1870"
"47641216","1300","1300","1300"
"47668992","1110","1110","1110"
"47690112","2200","2200","2200"
"47717376","1320","1320","1320"
"47737344","2330","2330","2330"
"47752704","1080","1080","1080"
"47762944","1356.6666259765625","1356.6666259765625","1356.6666259765625"
"47764096","2030","2030","2030"
"47767168","1210","1210","1210"
"47768320","2100","2100","2100"
"47772160","1360","1360","1360"
"47778944","990","990","990"
"47781632","2160","2160","2160"
"47798784","1080","1080","1080"
"47815808","1390","1390","1390"
"47830784","1480","1480","1480"
"47861504","2240","2240","2240"
"47863296","1010","1010","1010"
"47865600","1330","1330","1330"
"47866240","1200","1200","1200"
"47880832","860","860","860"
"47882112","1250","1250","1250"
"47883264","3540","3540","3540"
"47887232","2430","2430","2430"
"47934848","1730","1730","1730"
"47937920","960","960","960"
"47943808","2240","2240","2240"
"47950720","2180","2180","2180"
"47961728","2220","2220","2220"
"47969792","2230","2230","2230"
"47991424","1855","1855","1855"
"48014848","3600","3600","3600"
"48015104","1600","1600","1600"
"48019840","2700","2700","2700"
"48023808","2480","2480","2480"
"48025728","1200","1200","1200"
"48027904","2100","2100","2100"
"48052096","2720","2720","2720"
"48052608","3550","3550","3550"
"48060288","1615","1615","1615"
"48068224","2780","2780","2780"
"48069760","1210","1210","1210"
"48071552","1460","1460","1460"
"48100352","1330","1330","1330"
"48106240","1950","1950","1950"
"48108800","1250","1250","1250"
"48116608","2820","2820","2820"
"48121984","850","850","850"
"48152960","3900","3900","3900"
"48164352","1680","1680","1680"
"48166912","2150","2150","2150"
"48182016","1320","1320","1320"
"48182656","1650","1650","1650"
"48225920","1510","1510","1510"
"48229120","2020","2020","2020"
"48253696","2110","2110","2110"
"48272000","930","930","930"
"48281344","1773.3333740234375","1773.3333740234375","1773.3333740234375"
"48294912","1680","1680","1680"
"48324992","1030","1030","1030"
"48351360","1990","1990","1990"
"48355712","1350","1350","1350"
"48391424","1550","1550","1550"
"48403072","2310","2310","2310"
"48406912","2090","2090","2090"
"48413568","1125","1125","1125"
"48419840","1650","1650","1650"
"48461056","1590","1590","1590"
"48461952","2870","2870","2870"
"48462336","1410","1410","1410"
"48463488","1240","1240","1240"
"48481920","1470","1470","1470"
"48491776","2355","2355","2355"
"48496384","1285","1285","1285"
"48512384","2230","2230","2230"
"48522496","1050","1050","1050"
"48547200","2520","2520","2520"
"48556672","1100","1100","1100"
"48565504","1470","1470","1470"
"48566656","1995","1995","1995"
"48576896","1060","1060","1060"
"48580736","1250","1250","1250"
"48583424","2320","2320","2320"
"48610816","1350","1350","1350"
"48624512","1710","1710","1710"
"48632192","2250","2250","2250"
"48636800","1953.3333740234375","1953.3333740234375","1953.3333740234375"
"48642560","1830","1830","1830"
"48643200","3110","3110","3110"
"48645248","1160","1160","1160"
"48692608","1160","1160","1160"
"48695552","2020","2020","2020"
"48714880","1200","1200","1200"
"48717440","1340","1340","1340"
"48723456","1570","1570","1570"
"48728960","1730","1730","1730"
"48735488","2560","2560","2560"
"48736000","2495","2495","2495"
"48760064","1820","1820","1820"
"48766208","1340","1340","1340"
"48789504","1360","1360","1360"
"48794368","1220","1220","1220"
"48800768","1160","1160","1160"
"48801664","2590","2590","2590"
"48803968","3760","3760","3760"
"48818688","1140","1140","1140"
"48826240","2680","2680","2680"
"48865408","1370","1370","1370"
"48866944","1200","1200","1200"
"48891520","2600","2600","2600"
"48902272","2590","2590","2590"
"48904832","1030","1030","1030"
"48945664","1060","1060","1060"
"48957952","1640","1640","1640"
"48960640","1500","1500","1500"
"48973440","2285","2285","2285"
"48974336","2400","2400","2400"
"48981120","1400","1400","1400"
"48986880","1280","1280","1280"
"48988032","860","860","860"
"48989440","2570","2570","2570"
"49024640","1530","1530","1530"
"49030400","1210","1210","1210"
"49030528","3460","3460","3460"
"49032704","1500","1500","1500"
"49043456","2035","2035","2035"
"49056384","2230","2230","2230"
"49082496","3060","3060","3060"
"49112064","2925","2925","2925"
"49137792","1500","1500","1500"
"49142144","2360","2360","2360"
"49144704","2170","2170","2170"
"49149056","3330","3330","3330"
"49154816","3370","3370","3370"
"49172352","1790","1790","1790"
"49189888","2970","2970","2970"
"49203072","1290","1290","1290"
"49216640","3700","3700","3700"
"49225600","2270","2270","2270"
