"Step","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MIN","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MAX"
"1981952","1880","1880","1880"
"2006272","1415","1415","1415"
"2008320","1280","1280","1280"
"2022272","1310","1310","1310"
"2022528","1390","1390","1390"
"2022784","780","780","780"
"2034688","1050","1050","1050"
"2044032","960","960","960"
"2045824","1250","1250","1250"
"2048384","1270","1270","1270"
"2055552","1460","1460","1460"
"2059904","930","930","930"
"2064896","1020","1020","1020"
"2128000","1170","1170","1170"
"2129024","1380","1380","1380"
"2135680","1180","1180","1180"
"2152192","1145","1145","1145"
"2177920","990","990","990"
"2191232","1440","1440","1440"
"2193792","710","710","710"
"2214656","1480","1480","1480"
"2227712","1390","1390","1390"
"2235904","1930","1930","1930"
"2245376","1020","1020","1020"
"2254080","1090","1090","1090"
"2273920","1840","1840","1840"
"2318720","1330","1330","1330"
"2321152","1330","1330","1330"
"2324352","930","930","930"
"2335872","1250","1250","1250"
"2344960","1860","1860","1860"
"2359296","1100","1100","1100"
"2371968","1330","1330","1330"
"2387072","920","920","920"
"2433152","1750","1750","1750"
"2444416","1260","1260","1260"
"2456704","590","590","590"
"2478080","1370","1370","1370"
"2486144","1395","1395","1395"
"2493824","1120","1120","1120"
"2500608","1330","1330","1330"
"2509568","2380","2380","2380"
"2515200","1510","1510","1510"
"2515840","2070","2070","2070"
"2565504","990","990","990"
"2577536","975","975","975"
"2605440","1065","1065","1065"
"2632704","1080","1080","1080"
"2661888","1720","1720","1720"
"2668672","1395","1395","1395"
"2673024","1660","1660","1660"
"2686464","2050","2050","2050"
"2702464","1550","1550","1550"
"2707328","990","990","990"
"2721152","1740","1740","1740"
"2740608","1220","1220","1220"
"2796160","1310","1310","1310"
"2798336","2100","2100","2100"
"2798720","1290","1290","1290"
"2801792","1800","1800","1800"
