"Step","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MAX","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MAX","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MIN","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MAX"
"4218256","13800","13800","13800","","","","","",""
"4219232","6000","6000","6000","","","","","",""
"4219568","12600","12600","12600","","","","","",""
"4220368","7200","7200","7200","","","","","",""
"4220928","10700","10700","10700","","","","","",""
"4221168","7900","7900","7900","","","","","",""
"4221888","9000","9000","9000","","","","","",""
"4222336","","","","7200","7200","7200","","",""
"4222640","6600","6600","6600","","","","","",""
"4223552","4400","4400","4400","","","","","",""
"4224944","5000","5000","5000","","","","","",""
"4225360","14000","14000","14000","","","","","",""
"4226272","5400","5400","5400","","","","","",""
"4226720","5900","5900","5900","","","","","",""
"4227120","16600","16600","16600","","","","","",""
"4229040","4800","4800","4800","","","","","",""
"4229120","","","","6200","6200","6200","","",""
"4229808","16600","16600","16600","","","","","",""
"4231328","6400","6400","6400","","","","","",""
"4231680","12000","12000","12000","","","","","",""
"4232448","","","","7200","7200","7200","","",""
"4232624","17700","17700","17700","","","","","",""
"4234016","8900","8900","8900","","","","","",""
"4234368","7900","7900","7900","","","","","",""
"4234496","","","","6400","6400","6400","","",""
"4235264","","","","7350","7350","7350","","",""
"4236416","","","","8200","8200","8200","","",""
"4236736","11500","11500","11500","","","","","",""
"4237008","25100","25100","25100","","","","","",""
"4237440","11700","11700","11700","","","","","",""
"4237520","8000","8000","8000","","","","","",""
"4237696","","","","11700","11700","11700","","",""
"4237792","8300","8300","8300","","","","","",""
"4238208","","","","13000","13000","13000","","",""
"4238592","","","","9100","9100","9100","","",""
"4238720","","","","5700","5700","5700","","",""
"4238736","7000","7000","7000","","","","","",""
"4238976","","","","12100","12100","12100","","",""
"4239232","","","","7900","7900","7900","","",""
"4239488","","","","","","","9700","9700","9700"
"4240640","","","","9100","9100","9100","","",""
"4241376","17600","17600","17600","","","","","",""
"4241648","12100","12100","12100","","","","","",""
"4242128","10500","10500","10500","","","","","",""
"4242800","7900","7900","7900","","","","","",""
"4242896","8200","8200","8200","","","","","",""
"4243328","","","","6700","6700","6700","","",""
"4244096","8900","8900","8900","","","","","",""
"4244736","","","","6400","6400","6400","","",""
"4244928","9300","9300","9300","","","","","",""
"4244992","","","","7400","7400","7400","","",""
"4245120","","","","10400","10400","10400","","",""
"4245248","","","","10400","10400","10400","","",""
"4245392","6600","6600","6600","","","","","",""
"4245632","","","","5300","5300","5300","","",""
"4246544","3700","3700","3700","","","","","",""
"4246896","10700","10700","10700","","","","","",""
"4247424","","","","13600","13600","13600","","",""
"4247456","10500","10500","10500","","","","","",""
"4248320","8700","8700","8700","","","","","",""
"4249056","6400","6400","6400","","","","","",""
"4251520","","","","7500","7500","7500","","",""
"4251648","","","","5100","5100","5100","","",""
"4251920","10800","10800","10800","","","","","",""
"4252672","7200","7200","7200","","","","","",""
"4252896","16000","16000","16000","","","","","",""
"4252928","","","","10000","10000","10000","","",""
"4253056","","","","","","","19600","19600","19600"
"4253184","","","","26500","26500","26500","","",""
"4254464","","","","5500","5500","5500","","",""
"4254976","9600","9600","9600","","","","","",""
"4255104","","","","6050","6050","6050","","",""
"4255872","7300","7300","7300","","","","","",""
"4256256","","","","8300","8300","8300","11100","11100","11100"
"4256768","","","","9100","9100","9100","","",""
"4256992","5600","5600","5600","","","","","",""
"4257024","","","","10800","10800","10800","","",""
"4257152","","","","13550","13550","13550","","",""
"4258432","","","","10000","10000","10000","","",""
"4259184","11700","11700","11700","","","","","",""
"4260224","","","","7250","7250","7250","","",""
"4262624","18200","18200","18200","","","","","",""
"4263040","14600","14600","14600","","","","","",""
"4263680","","","","9100","9100","9100","","",""
"4264576","","","","11900","11900","11900","","",""
"4265328","8200","8200","8200","","","","","",""
"4265424","7450","7450","7450","","","","","",""
"4265808","19800","19800","19800","","","","","",""
"4266560","3700","3700","3700","","","","","",""
"4266880","","","","17200","17200","17200","","",""
"4267152","7000","7000","7000","","","","","",""
"4268544","","","","18700","18700","18700","","",""
"4269376","7100","7100","7100","","","","","",""
"4269440","","","","4500","4500","4500","","",""
"4269712","8400","8400","8400","","","","","",""
"4269808","4200","4200","4200","","","","","",""
"4270208","","","","8600","8600","8600","","",""
"4270336","","","","10300","10300","10300","","",""
"4270912","6200","6200","6200","","","","","",""
"4271520","8300","8300","8300","","","","","",""
"4272000","","","","4200","4200","4200","","",""
"4272768","","","","","","","6800","6800","6800"
"4272880","3100","3100","3100","","","","","",""
"4272896","","","","16500","16500","16500","","",""
"4272944","9800","9800","9800","","","","","",""
"4273664","7000","7000","7000","","","","","",""
"4273920","","","","7600","7600","7600","","",""
"4274496","8400","8400","8400","","","","","",""
"4274944","6400","6400","6400","","","","","",""
"4275040","4900","4900","4900","","","","","",""
"4275248","5000","5000","5000","","","","","",""
"4275408","14400","14400","14400","","","","","",""
"4275840","8000","8000","8000","","","","","",""
"4276224","","","","6900","6900","6900","","",""
"4276240","13200","13200","13200","","","","","",""
"4276736","","","","","","","10100","10100","10100"
"4276992","","","","11900","11900","11900","","",""
"4277696","9400","9400","9400","","","","","",""
"4277888","","","","6900","6900","6900","","",""
"4278272","","","","16800","16800","16800","","",""
"4278528","9300","9300","9300","","","","","",""
"4279040","","","","","","","16700","16700","16700"
"4279168","11100","11100","11100","","","","","",""
"4279680","","","","4100","4100","4100","","",""
"4279696","11700","11700","11700","","","","","",""
"4279936","3500","3500","3500","","","","","",""
"4280064","","","","5300","5300","5300","","",""
"4280112","13000","13000","13000","","","","","",""
"4282672","7300","7300","7300","","","","","",""
"4283056","17900","17900","17900","","","","","",""
"4283264","","","","5500","5500","5500","","",""
"4283808","14200","14200","14200","","","","","",""
"4283904","","","","12000","12000","12000","","",""
"4284400","12900","12900","12900","","","","","",""
"4285056","","","","9600","9600","9600","","",""
"4285568","","","","","","","18500","18500","18500"
"4287232","","","","","","","9100","9100","9100"
"4287344","7300","7300","7300","","","","","",""
"4287408","13900","13900","13900","","","","","",""
"4288000","","","","13550","13550","13550","","",""
"4288304","12700","12700","12700","","","","","",""
"4288416","14400","14400","14400","","","","","",""
"4289408","","","","3900","3900","3900","","",""
"4289920","","","","4800","4800","4800","","",""
"4290176","","","","","","","21400","21400","21400"
"4291072","6100","6100","6100","","","","","",""
"4291760","12300","12300","12300","","","","","",""
"4292032","5000","5000","5000","","","","","",""
"4292880","15100","15100","15100","","","","","",""
"4293632","","","","4300","4300","4300","","",""
"4293920","9500","9500","9500","","","","","",""
"4294144","","","","12650","12650","12650","","",""
"4295072","9800","9800","9800","","","","","",""
"4295584","7100","7100","7100","","","","","",""
"4296832","","","","7800","7800","7800","","",""
"4298368","","","","9100","9100","9100","","",""
"4300208","9000","9000","9000","","","","","",""
"4301584","12200","12200","12200","","","","","",""
"4302256","7100","7100","7100","","","","","",""
"4302848","","","","9200","9200","9200","","",""
"4303616","","","","6900","6900","6900","","",""
"4304704","9700","9700","9700","","","","","",""
"4304976","15100","15100","15100","","","","","",""
"4305152","","","","8250","8250","8250","","",""
"4305536","","","","","","","10100","10100","10100"
"4306464","6500","6500","6500","","","","","",""
"4306944","","","","17100","17100","17100","","",""
"4307072","","","","9700","9700","9700","","",""
"4307584","","","","8400","8400","8400","","",""
"4307600","6400","6400","6400","","","","","",""
"4307840","","","","7800","7800","7800","","",""
"4308096","","","","15500","15500","15500","","",""
"4308224","","","","6300","6300","6300","","",""
"4309520","4300","4300","4300","","","","","",""
"4309984","3800","3800","3800","","","","","",""
"4310144","","","","12150","12150","12150","","",""
"4310912","","","","10400","10400","10400","","",""
"4311072","5800","5800","5800","","","","","",""
"4311584","11000","11000","11000","","","","","",""
"4312064","","","","6400","6400","6400","","",""
"4312448","","","","3500","3500","3500","","",""
"4312576","","","","8500","8500","8500","","",""
"4313984","","","","8900","8900","8900","","",""
"4314720","12700","12700","12700","","","","","",""
"4314752","","","","","","","13633.3330078125","13633.3330078125","13633.3330078125"
"4315952","10600","10600","10600","","","","","",""
"4316544","","","","10000","10000","10000","","",""
"4316880","11600","11600","11600","","","","","",""
"4317824","","","","4200","4200","4200","6500","6500","6500"
"4318144","8500","8500","8500","","","","","",""
"4318640","6000","6000","6000","","","","","",""
"4318688","6400","6400","6400","","","","","",""
"4320000","","","","8800","8800","8800","","",""
"4320256","","","","12600","12600","12600","","",""
"4320592","6900","6900","6900","","","","","",""
"4320656","4700","4700","4700","","","","","",""
"4320800","7200","7200","7200","","","","","",""
"4320896","","","","11200","11200","11200","","",""
"4321792","","","","6300","6300","6300","","",""
"4321920","","","","16800","16800","16800","","",""
"4322816","","","","7200","7200","7200","","",""
"4324640","8100","8100","8100","","","","","",""
"4324736","","","","","","","12500","12500","12500"
"4325632","7800","7800","7800","","","","","",""
"4325888","","","","9000","9000","9000","","",""
"4326656","","","","5700","5700","5700","","",""
"4326784","","","","6100","6100","6100","","",""
"4329264","7900","7900","7900","","","","","",""
"4329872","18000","18000","18000","","","","","",""
"4330112","","","","7200","7200","7200","","",""
"4330336","11100","11100","11100","","","","","",""
"4330624","","","","4600","4600","4600","","",""
"4331600","6200","6200","6200","","","","","",""
"4331776","","","","11400","11400","11400","","",""
"4332160","","","","4200","4200","4200","","",""
"4332672","","","","9300","9300","9300","","",""
"4333184","","","","29800","29800","29800","","",""
"4333888","7800","7800","7800","","","","","",""
"4333952","","","","7600","7600","7600","","",""
"4334144","7000","7000","7000","","","","","",""
"4334928","4300","4300","4300","","","","","",""
"4335056","7500","7500","7500","","","","","",""
"4335360","","","","5700","5700","5700","","",""
"4336336","11400","11400","11400","","","","","",""
"4336640","","","","12600","12600","12600","","",""
"4336896","","","","6200","6200","6200","","",""
"4337152","2300","2300","2300","5000","5000","5000","","",""
"4337536","","","","11800","11800","11800","","",""
"4337760","5900","5900","5900","","","","","",""
"4337792","","","","7550","7550","7550","","",""
"4338816","","","","7400","7400","7400","","",""
"4339584","","","","6900","6900","6900","","",""
"4340256","4900","4900","4900","","","","","",""
"4340352","13600","13600","13600","7000","7000","7000","","",""
"4340992","","","","6050","6050","6050","","",""
"4341504","","","","11800","11800","11800","","",""
"4343680","","","","","","","10700","10700","10700"
"4344192","","","","9800","9800","9800","","",""
"4344576","","","","6500","6500","6500","","",""
"4344640","8200","8200","8200","","","","","",""
"4346368","","","","7000","7000","7000","","",""
"4346496","","","","7600","7600","7600","","",""
"4346832","4600","4600","4600","","","","","",""
"4347152","12000","12000","12000","","","","","",""
"4347936","6100","6100","6100","","","","","",""
"4348672","","","","8600","8600","8600","","",""
"4349408","6800","6800","6800","","","","","",""
"4349440","","","","3900","3900","3900","","",""
"4350000","7000","7000","7000","","","","","",""
"4350080","","","","4300","4300","4300","","",""
"4351104","","","","7750","7750","7750","","",""
"4351232","","","","12500","12500","12500","","",""
"4351248","5700","5700","5700","","","","","",""
"4351360","","","","3300","3300","3300","","",""
"4351744","","","","12300","12300","12300","","",""
"4353280","","","","11000","11000","11000","","",""
"4353792","","","","8200","8200","8200","","",""
"4354048","12800","12800","12800","","","","","",""
"4354560","","","","16500","16500","16500","","",""
"4355888","5600","5600","5600","","","","","",""
"4356944","13500","13500","13500","","","","","",""
"4357120","","","","10100","10100","10100","","",""
"4358272","","","","11400","11400","11400","","",""
"4358784","","","","16100","16100","16100","","",""
"4359152","14700","14700","14700","","","","","",""
"4359168","17100","17100","17100","","","","","",""
"4359936","","","","9800","9800","9800","","",""
"4362800","19000","19000","19000","","","","","",""
"4364192","11700","11700","11700","","","","","",""
"4365776","6700","6700","6700","","","","","",""
"4366080","","","","20800","20800","20800","","",""
"4366336","","","","9650","9650","9650","","",""
"4366848","","","","12300","12300","12300","","",""
"4368000","","","","13600","13600","13600","","",""
"4368112","10700","10700","10700","","","","","",""
"4369328","2900","2900","2900","","","","","",""
"4369664","","","","10600","10600","10600","","",""
"4370176","","","","5100","5100","5100","","",""
"4370688","","","","14000","14000","14000","","",""
"4371072","","","","9700","9700","9700","","",""
"4371216","15500","15500","15500","","","","","",""
"4371328","","","","7400","7400","7400","","",""
"4371888","10700","10700","10700","","","","","",""
"4372480","","","","8800","8800","8800","","",""
"4372608","","","","9700","9700","9700","","",""
"4373200","8800","8800","8800","","","","","",""
"4373632","","","","12050","12050","12050","","",""
"4374912","","","","7000","7000","7000","","",""
"4375168","","","","9100","9100","9100","","",""
"4375344","6500","6500","6500","","","","","",""
"4375504","7200","7200","7200","","","","","",""
"4376448","","","","7200","7200","7200","","",""
"4376704","","","","4500","4500","4500","","",""
"4377344","","","","11650","11650","11650","","",""
"4377360","3500","3500","3500","","","","","",""
"4377872","13700","13700","13700","","","","","",""
"4377904","7800","7800","7800","","","","","",""
"4378368","10400","10400","10400","","","","","",""
"4378400","6200","6200","6200","","","","","",""
"4379008","","","","4000","4000","4000","","",""
"4380160","15400","15400","15400","","","","","",""
"4380352","11200","11200","11200","","","","","",""
"4381360","5400","5400","5400","","","","","",""
"4381376","8800","8800","8800","","","","","",""
"4381504","10700","10700","10700","","","","","",""
"4382192","11300","11300","11300","","","","","",""
"4382208","","","","15800","15800","15800","","",""
"4382336","","","","8300","8300","8300","","",""
"4382848","","","","8300","8300","8300","","",""
"4382976","","","","4500","4500","4500","","",""
"4383488","","","","10400","10400","10400","","",""
"4384000","","","","9250","9250","9250","","",""
"4384928","5300","5300","5300","","","","","",""
"4385024","","","","7800","7800","7800","","",""
"4385888","9500","9500","9500","","","","","",""
"4386176","","","","","","","10500","10500","10500"
"4386784","14900","14900","14900","","","","","",""
"4386880","8200","8200","8200","","","","","",""
"4387968","","","","7000","7000","7000","","",""
"4388256","6800","6800","6800","","","","","",""
"4388608","","","","5300","5300","5300","","",""
"4388640","10700","10700","10700","","","","","",""
"4389296","7700","7700","7700","","","","","",""
"4389888","","","","5200","5200","5200","","",""
"4391968","9300","9300","9300","","","","","",""
"4392064","","","","8700","8700","8700","","",""
"4392128","3500","3500","3500","","","","","",""
"4393984","","","","6300","6300","6300","","",""
"4394448","11400","11400","11400","","","","","",""
"4395008","","","","8000","8000","8000","","",""
"4395040","9700","9700","9700","","","","","",""
"4395136","","","","8000","8000","8000","","",""
"4395376","17800","17800","17800","","","","","",""
"4395392","","","","13800","13800","13800","","",""
"4395904","","","","8200","8200","8200","","",""
"4397104","7800","7800","7800","","","","","",""
"4397184","9200","9200","9200","","","","","",""
"4397248","14100","14100","14100","","","","","",""
"4397648","7900","7900","7900","","","","","",""
"4397696","","","","9100","9100","9100","","",""
"4398016","12800","12800","12800","","","","","",""
"4398208","","","","15200","15200","15200","","",""
"4399104","","","","8000","8000","8000","","",""
"4399232","","","","11400","11400","11400","","",""
"4399616","","","","9200","9200","9200","","",""
"4399712","4900","4900","4900","","","","","",""
"4400640","8600","8600","8600","","","","","",""
"4400832","6100","6100","6100","","","","","",""
"4400896","","","","3400","3400","3400","","",""
"4401408","","","","7450","7450","7450","","",""
"4401792","","","","10400","10400","10400","","",""
"4403536","6300","6300","6300","","","","","",""
"4404352","","","","6750","6750","6750","","",""
"4404608","","","","","","","7500","7500","7500"
"4405568","5100","5100","5100","","","","","",""
"4405632","10000","10000","10000","","","","","",""
"4405888","","","","18200","18200","18200","","",""
"4405968","8900","8900","8900","","","","","",""
"4406016","","","","7100","7100","7100","","",""
"4406128","9000","9000","9000","","","","","",""
"4406400","","","","3700","3700","3700","","",""
"4407200","22400","22400","22400","","","","","",""
"4408192","","","","5500","5500","5500","","",""
"4408960","","","","10000","10000","10000","","",""
"4409600","8100","8100","8100","11400","11400","11400","","",""
"4410208","7400","7400","7400","","","","","",""
"4410384","12200","12200","12200","","","","","",""
"4411536","11900","11900","11900","","","","","",""
"4412800","","","","18100","18100","18100","","",""
"4412960","10000","10000","10000","","","","","",""
"4413056","","","","10900","10900","10900","","",""
"4413088","17000","17000","17000","","","","","",""
"4413536","12000","12000","12000","","","","","",""
"4413696","","","","19300","19300","19300","12600","12600","12600"
"4413936","4300","4300","4300","","","","","",""
"4414640","11200","11200","11200","","","","","",""
"4414848","","","","10800","10800","10800","","",""
"4415328","19500","19500","19500","","","","","",""
"4417056","11000","11000","11000","","","","","",""
"4417792","","","","13800","13800","13800","","",""
"4417920","","","","8800","8800","8800","","",""
"4418080","9000","9000","9000","","","","","",""
"4419824","10600","10600","10600","","","","","",""
"4420224","","","","10900","10900","10900","","",""
"4420464","10900","10900","10900","","","","","",""
"4420880","8400","8400","8400","","","","","",""
"4421536","13300","13300","13300","","","","","",""
"4421632","","","","18000","18000","18000","","",""
"4422128","16300","16300","16300","","","","","",""
"4422656","","","","7800","7800","7800","25700","25700","25700"
"4423040","","","","6900","6900","6900","","",""
"4423184","7600","7600","7600","","","","","",""
"4423728","7300","7300","7300","","","","","",""
"4423840","12400","12400","12400","","","","","",""
"4424704","","","","12200","12200","12200","","",""
"4425344","","","","","","","11200","11200","11200"
"4425408","12100","12100","12100","","","","","",""
"4425856","","","","","","","5600","5600","5600"
"4426880","","","","10100","10100","10100","","",""
"4427520","","","","7850","7850","7850","","",""
"4428000","12500","12500","12500","","","","","",""
"4428672","","","","","","","3100","3100","3100"
"4429056","","","","7150","7150","7150","","",""
"4429312","","","","7500","7500","7500","","",""
"4430976","","","","9800","9800","9800","","",""
"4431056","6700","6700","6700","","","","","",""
"4431584","5700","5700","5700","","","","","",""
"4432464","5300","5300","5300","","","","","",""
"4432512","","","","10050","10050","10050","","",""
"4433536","","","","2800","2800","2800","","",""
"4434432","","","","7000","7000","7000","11700","11700","11700"
"4434816","8100","8100","8100","","","","","",""
"4435200","","","","8700","8700","8700","","",""
"4435248","19700","19700","19700","","","","","",""
"4435632","8100","8100","8100","","","","","",""
"4435888","16000","16000","16000","","","","","",""
"4436128","11200","11200","11200","","","","","",""
"4437872","17300","17300","17300","","","","","",""
"4438192","10600","10600","10600","","","","","",""
"4438272","","","","6100","6100","6100","","",""
"4438656","","","","8900","8900","8900","","",""
"4440016","9600","9600","9600","","","","","",""
"4440064","","","","12500","12500","12500","","",""
"4440304","9200","9200","9200","","","","","",""
"4440832","","","","8800","8800","8800","","",""
"4441088","","","","12800","12800","12800","","",""
"4441200","6900","6900","6900","","","","","",""
"4441856","","","","15300","15300","15300","","",""
"4443424","9100","9100","9100","","","","","",""
"4443472","12600","12600","12600","","","","","",""
"4443904","","","","7300","7300","7300","","",""
"4444288","9800","9800","9800","","","","","",""
"4444544","","","","","","","16600","16600","16600"
"4444672","","","","7900","7900","7900","","",""
"4446016","17500","17500","17500","","","","","",""
"4446208","","","","4600","4600","4600","","",""
"4446592","","","","12600","12600","12600","","",""
"4446848","","","","","","","10400","10400","10400"
"4447056","5900","5900","5900","","","","","",""
"4447104","","","","8900","8900","8900","","",""
"4447488","14400","14400","14400","10600","10600","10600","","",""
"4448992","17900","17900","17900","","","","","",""
"4449488","7200","7200","7200","","","","","",""
"4449776","10200","10200","10200","","","","","",""
"4450224","13600","13600","13600","","","","","",""
"4451040","7400","7400","7400","","","","","",""
"4451408","7300","7300","7300","","","","","",""
"4451968","","","","7433.33349609375","7433.33349609375","7433.33349609375","","",""
"4454016","","","","9500","9500","9500","","",""
"4454576","6200","6200","6200","","","","","",""
"4454672","5100","5100","5100","","","","","",""
"4455392","9000","9000","9000","","","","","",""
"4456064","","","","6700","6700","6700","","",""
"4456704","","","","8150","8150","8150","","",""
"4456960","","","","","","","8200","8200","8200"
"4458496","7300","7300","7300","","","","","",""
"4459008","","","","9500","9500","9500","","",""
"4459264","","","","7500","7500","7500","","",""
"4459808","6100","6100","6100","","","","","",""
"4459840","8400","8400","8400","","","","","",""
"4459904","","","","5100","5100","5100","","",""
"4460368","5000","5000","5000","","","","","",""
"4460800","","","","4700","4700","4700","","",""
"4461056","","","","9000","9000","9000","","",""
"4461408","21500","21500","21500","","","","","",""
"4461568","","","","11400","11400","11400","","",""
"4461856","5800","5800","5800","","","","","",""
"4461952","","","","7133.33349609375","7133.33349609375","7133.33349609375","","",""
"4462144","12000","12000","12000","","","","","",""
"4462336","","","","14200","14200","14200","","",""
"4462592","9200","9200","9200","","","","","",""
"4462848","","","","7100","7100","7100","","",""
"4462912","15000","15000","15000","","","","","",""
"4463488","","","","14500","14500","14500","","",""
"4464128","","","","3800","3800","3800","","",""
"4464192","3500","3500","3500","","","","","",""
"4464928","4600","4600","4600","","","","","",""
"4466560","","","","8200","8200","8200","","",""
"4467328","","","","10300","10300","10300","","",""
"4467344","14300","14300","14300","","","","","",""
"4468416","16100","16100","16100","","","","","",""
"4468608","","","","3500","3500","3500","","",""
"4468704","11700","11700","11700","","","","","",""
"4469760","","","","10300","10300","10300","","",""
"4469920","4800","4800","4800","","","","","",""
"4471040","","","","5200","5200","5200","","",""
"4471968","8900","8900","8900","","","","","",""
"4472048","6600","6600","6600","","","","","",""
"4472176","12000","12000","12000","","","","","",""
"4473024","7900","7900","7900","","","","","",""
"4473328","9500","9500","9500","","","","","",""
"4473632","5400","5400","5400","","","","","",""
"4473984","13100","13100","13100","","","","","",""
"4474752","13600","13600","13600","7700","7700","7700","","",""
"4475520","10000","10000","10000","","","","","",""
"4475904","","","","17650","17650","17650","","",""
"4476288","5600","5600","5600","","","","","",""
"4476800","","","","6000","6000","6000","","",""
"4476928","","","","5100","5100","5100","","",""
"4477360","9700","9700","9700","","","","","",""
"4477696","","","","16500","16500","16500","9300","9300","9300"
"4480128","","","","7400","7400","7400","","",""
"4480224","3600","3600","3600","","","","","",""
"4480544","17100","17100","17100","","","","","",""
"4480880","13100","13100","13100","","","","","",""
"4481280","","","","8300","8300","8300","","",""
"4481536","","","","6200","6200","6200","","",""
"4481632","7800","7800","7800","","","","","",""
"4482048","9500","9500","9500","","","","","",""
"4482224","19100","19100","19100","","","","","",""
"4482464","23600","23600","23600","","","","","",""
"4482688","","","","13650","13650","13650","","",""
"4483760","15600","15600","15600","","","","","",""
"4484352","","","","3400","3400","3400","","",""
"4484736","","","","10500","10500","10500","","",""
"4485360","4600","4600","4600","","","","","",""
"4485456","11900","11900","11900","","","","","",""
"4486192","5100","5100","5100","","","","","",""
"4486528","","","","","","","12700","12700","12700"
"4486768","15400","15400","15400","","","","","",""
"4486912","","","","3400","3400","3400","","",""
"4487424","","","","9000","9000","9000","","",""
"4487552","","","","10700","10700","10700","","",""
"4488512","16000","16000","16000","","","","","",""
"4489872","13300","13300","13300","","","","","",""
"4490496","","","","","","","9500","9500","9500"
"4491008","","","","7900","7900","7900","","",""
"4491520","9200","9200","9200","11400","11400","11400","","",""
"4491904","","","","9500","9500","9500","","",""
"4492016","11000","11000","11000","","","","","",""
"4492048","15000","15000","15000","","","","","",""
"4492400","12500","12500","12500","","","","","",""
"4492608","8600","8600","8600","","","","","",""
"4493312","5700","5700","5700","5700","5700","5700","","",""
"4494272","4000","4000","4000","","","","","",""
"4494656","12600","12600","12600","","","","","",""
"4495104","","","","13400","13400","13400","","",""
"4495280","6600","6600","6600","","","","","",""
"4495488","","","","11800","11800","11800","","",""
"4495504","6200","6200","6200","","","","","",""
"4495872","","","","11050","11050","11050","","",""
"4497616","12800","12800","12800","","","","","",""
"4498176","","","","5200","5200","5200","","",""
"4498816","","","","4750","4750","4750","","",""
"4499072","","","","7200","7200","7200","","",""
"4499328","","","","8100","8100","8100","","",""
"4499584","","","","5200","5200","5200","","",""
"4500096","","","","12600","12600","12600","","",""
"4501632","","","","7100","7100","7100","","",""
"4501760","","","","9900","9900","9900","","",""
"4502224","8700","8700","8700","","","","","",""
"4502272","","","","14000","14000","14000","","",""
"4502464","12100","12100","12100","","","","","",""
"4502656","","","","12300","12300","12300","","",""
"4503936","","","","9600","9600","9600","","",""
"4504192","13700","13700","13700","","","","","",""
"4505168","10200","10200","10200","","","","","",""
"4506112","","","","12900","12900","12900","","",""
"4506240","","","","6900","6900","6900","","",""
"4507264","","","","6500","6500","6500","","",""
"4507504","8200","8200","8200","","","","","",""
"4509088","8100","8100","8100","","","","","",""
"4509488","14200","14200","14200","","","","","",""
"4510784","9100","9100","9100","","","","","",""
"4511104","","","","5900","5900","5900","","",""
"4511376","6100","6100","6100","","","","","",""
"4511552","6600","6600","6600","","","","","",""
"4512000","","","","10200","10200","10200","","",""
"4512256","","","","9400","9400","9400","","",""
"4513536","","","","7200","7200","7200","","",""
"4514560","16100","16100","16100","","","","","",""
"4514816","","","","","","","27900","27900","27900"
"4515712","","","","2200","2200","2200","","",""
"4516864","","","","","","","7400","7400","7400"
"4517184","6400","6400","6400","","","","","",""
"4517408","11600","11600","11600","","","","","",""
"4517504","","","","14800","14800","14800","","",""
"4517952","18000","18000","18000","","","","","",""
"4518016","","","","","","","11600","11600","11600"
"4520320","","","","6200","6200","6200","","",""
"4521008","15100","15100","15100","","","","","",""
"4522432","13500","13500","13500","","","","","",""
"4522624","","","","7300","7300","7300","","",""
"4522896","5100","5100","5100","","","","","",""
"4523408","7900","7900","7900","","","","","",""
"4524800","","","","20200","20200","20200","","",""
"4525168","6100","6100","6100","","","","","",""
"4525184","","","","7000","7000","7000","","",""
"4525312","","","","8050","8050","8050","","",""
"4525440","","","","9100","9100","9100","","",""
"4525952","","","","10666.6669921875","10666.6669921875","10666.6669921875","","",""
"4526720","","","","12800","12800","12800","","",""
"4527488","8100","8100","8100","","","","","",""
"4527536","8800","8800","8800","","","","","",""
"4527648","10500","10500","10500","","","","","",""
"4528896","","","","11700","11700","11700","","",""
"4529408","","","","8350","8350","8350","","",""
"4529536","","","","21100","21100","21100","","",""
"4529760","7500","7500","7500","","","","","",""
"4530560","","","","8600","8600","8600","","",""
"4531584","","","","7050","7050","7050","","",""
"4531840","","","","10300","10300","10300","","",""
"4532224","","","","","","","17900","17900","17900"
"4533504","","","","4100","4100","4100","","",""
"4534336","5800","5800","5800","","","","","",""
"4534528","","","","15900","15900","15900","","",""
"4535152","14600","14600","14600","","","","","",""
"4535872","7100","7100","7100","","","","","",""
"4536960","","","","14000","14000","14000","","",""
"4537088","","","","7600","7600","7600","","",""
"4538592","4100","4100","4100","","","","","",""
"4538752","9400","9400","9400","","","","","",""
"4538992","5200","5200","5200","","","","","",""
"4539872","7600","7600","7600","","","","","",""
"4540160","","","","9650","9650","9650","","",""
"4541184","","","","8100","8100","8100","","",""
"4541424","11900","11900","11900","","","","","",""
"4542768","6300","6300","6300","","","","","",""
"4542848","","","","9900","9900","9900","","",""
"4543056","16800","16800","16800","","","","","",""
"4543616","","","","9600","9600","9600","","",""
"4544000","","","","8400","8400","8400","","",""
"4544256","","","","11900","11900","11900","","",""
"4544272","8400","8400","8400","","","","","",""
"4544384","","","","5500","5500","5500","","",""
"4544672","12400","12400","12400","","","","","",""
"4545408","","","","9500","9500","9500","","",""
"4545616","11000","11000","11000","","","","","",""
"4546048","","","","12100","12100","12100","","",""
"4546272","9200","9200","9200","","","","","",""
"4546432","","","","6500","6500","6500","","",""
"4546736","8000","8000","8000","","","","","",""
"4547584","2600","2600","2600","","","","","",""
"4547728","6900","6900","6900","","","","","",""
"4547968","","","","8366.6669921875","8366.6669921875","8366.6669921875","","",""
"4548736","","","","7300","7300","7300","","",""
"4549376","","","","5000","5000","5000","","",""
"4550032","11400","11400","11400","","","","","",""
"4552656","11200","11200","11200","","","","","",""
"4552960","","","","","","","9500","9500","9500"
