"Step","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MAX","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MAX","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MIN","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MAX"
"83072","","","","7500","7500","7500","","",""
"83200","","","","18300","18300","18300","","",""
"83440","6700","6700","6700","","","","","",""
"83968","","","","7600","7600","7600","","",""
"85760","","","","12500","12500","12500","","",""
"86400","","","","10500","10500","10500","","",""
"86416","4600","4600","4600","","","","","",""
"86576","7400","7400","7400","","","","","",""
"87648","7600","7600","7600","","","","","",""
"87728","6600","6600","6600","","","","","",""
"87808","","","","","","","25200","25200","25200"
"88448","","","","11400","11400","11400","","",""
"89488","14600","14600","14600","","","","","",""
"89600","","","","8400","8400","8400","","",""
"90272","9100","9100","9100","","","","","",""
"90560","6500","6500","6500","","","","","",""
"91168","13800","13800","13800","","","","","",""
"91904","","","","7200","7200","7200","","",""
"91952","4400","4400","4400","","","","","",""
"92160","","","","14900","14900","14900","","",""
"92416","12900","12900","12900","","","","","",""
"93200","7500","7500","7500","","","","","",""
"93408","14100","14100","14100","","","","","",""
"93696","","","","14800","14800","14800","","",""
"93776","8600","8600","8600","","","","","",""
"94512","3000","3000","3000","","","","","",""
"95232","4500","4500","4500","","","","","",""
"95872","","","","11500","11500","11500","","",""
"96128","5600","5600","5600","","","","","",""
"97408","","","","5000","5000","5000","","",""
"97728","3400","3400","3400","","","","","",""
"98160","11700","11700","11700","","","","","",""
"98176","","","","12500","12500","12500","","",""
"98816","","","","","","","13400","13400","13400"
"99328","","","","19500","19500","19500","","",""
"99712","9600","9600","9600","","","","","",""
"99968","","","","11700","11700","11700","","",""
"100080","6100","6100","6100","","","","","",""
"101616","5300","5300","5300","","","","","",""
"101984","3500","3500","3500","","","","","",""
"102400","","","","4600","4600","4600","","",""
"102656","","","","7300","7300","7300","","",""
"102912","","","","13000","13000","13000","","",""
"103648","7300","7300","7300","","","","","",""
"103936","","","","11100","11100","11100","","",""
"104128","16000","16000","16000","","","","","",""
"104448","","","","9000","9000","9000","","",""
"105216","9500","9500","9500","","","","","",""
"105968","11000","11000","11000","","","","","",""
"107168","9500","9500","9500","","","","","",""
"108816","13300","13300","13300","","","","","",""
"109392","6100","6100","6100","","","","","",""
"110176","8400","8400","8400","","","","","",""
"112640","","","","6500","6500","6500","","",""
"113008","11000","11000","11000","","","","","",""
"113168","8300","8300","8300","","","","","",""
"113280","","","","7400","7400","7400","","",""
"113344","5400","5400","5400","","","","","",""
"113488","18400","18400","18400","","","","","",""
"113920","","","","4500","4500","4500","","",""
"114048","","","","4700","4700","4700","","",""
"114896","12400","12400","12400","","","","","",""
"114944","21300","21300","21300","","","","","",""
"115360","11400","11400","11400","","","","","",""
"115456","5400","5400","5400","13500","13500","13500","","",""
"116688","6900","6900","6900","","","","","",""
"116848","18100","18100","18100","","","","","",""
"118512","10100","10100","10100","","","","","",""
"118528","","","","10300","10300","10300","","",""
"118592","7100","7100","7100","","","","","",""
"119168","","","","","","","8000","8000","8000"
"120160","11800","11800","11800","","","","","",""
"120192","","","","8600","8600","8600","","",""
"120704","","","","7600","7600","7600","","",""
"121472","17300","17300","17300","","","","","",""
"121824","8800","8800","8800","","","","","",""
"122208","13900","13900","13900","","","","","",""
"122544","6000","6000","6000","","","","","",""
"123648","","","","6600","6600","6600","","",""
"125312","14800","14800","14800","7600","7600","7600","","",""
"126144","15200","15200","15200","","","","","",""
"126784","17300","17300","17300","","","","","",""
"127744","","","","13500","13500","13500","","",""
"127872","6100","6100","6100","","","","","",""
"128000","","","","10700","10700","10700","","",""
"128384","","","","11800","11800","11800","","",""
"128768","","","","11500","11500","11500","","",""
"128896","","","","9700","9700","9700","","",""
"129024","5200","5200","5200","8100","8100","8100","","",""
"129280","6600","6600","6600","","","","","",""
"129632","9300","9300","9300","","","","","",""
"129664","13000","13000","13000","","","","","",""
"129792","17200","17200","17200","","","","","",""
"130688","","","","","","","10300","10300","10300"
"131744","10700","10700","10700","","","","","",""
"131904","14500","14500","14500","","","","","",""
"132576","6100","6100","6100","","","","","",""
"132720","7700","7700","7700","","","","","",""
"133760","","","","9500","9500","9500","","",""
"135008","8600","8600","8600","","","","","",""
"135808","","","","9300","9300","9300","","",""
"136448","5500","5500","5500","","","","","",""
"136576","","","","18200","18200","18200","","",""
"136640","7000","7000","7000","","","","","",""
"136768","8000","8000","8000","","","","","",""
"136832","","","","7900","7900","7900","","",""
"136896","10900","10900","10900","","","","","",""
"137472","","","","6700","6700","6700","","",""
"137856","13800","13800","13800","","","","","",""
"139360","13700","13700","13700","","","","","",""
"139456","5400","5400","5400","","","","","",""
"141184","","","","6150","6150","6150","","",""
"141264","13200","13200","13200","","","","","",""
"141440","","","","8850","8850","8850","","",""
"141568","","","","6250","6250","6250","","",""
"142080","","","","14000","14000","14000","","",""
"142144","17600","17600","17600","","","","","",""
"142208","","","","6800","6800","6800","","",""
"142688","15700","15700","15700","","","","","",""
"143344","8100","8100","8100","","","","","",""
"143360","","","","10100","10100","10100","","",""
"143616","","","","8000","8000","8000","","",""
"145792","","","","4900","4900","4900","","",""
"145920","","","","3300","3300","3300","","",""
"145936","7600","7600","7600","","","","","",""
"146176","","","","9100","9100","9100","","",""
"146560","","","","","","","8200","8200","8200"
"146688","12500","12500","12500","","","","","",""
"146816","","","","15800","15800","15800","","",""
"146944","","","","6200","6200","6200","11700","11700","11700"
"146960","8300","8300","8300","","","","","",""
"147328","","","","5400","5400","5400","","",""
"148480","","","","6900","6900","6900","","",""
"148864","","","","11400","11400","11400","","",""
"148896","7300","7300","7300","","","","","",""
"149120","","","","9800","9800","9800","","",""
"149328","10400","10400","10400","","","","","",""
"149504","20700","20700","20700","","","","","",""
"150016","","","","13100","13100","13100","","",""
"150912","","","","13600","13600","13600","","",""
"151344","15500","15500","15500","","","","","",""
"152080","15900","15900","15900","","","","","",""
"152288","11300","11300","11300","","","","","",""
"153088","11700","11700","11700","","","","","",""
"153216","","","","7800","7800","7800","","",""
"154128","5800","5800","5800","","","","","",""
"154752","","","","19300","19300","19300","","",""
"155264","","","","6000","6000","6000","","",""
"155520","","","","7700","7700","7700","","",""
"156320","8500","8500","8500","","","","","",""
"156416","","","","8900","8900","8900","","",""
"156576","11400","11400","11400","","","","","",""
"156736","7900","7900","7900","","","","","",""
"157696","","","","8350","8350","8350","","",""
